'YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ';61
'YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ';63
'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ';56
'YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ';85
'YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ';99
'YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ';102
'YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ';105
'EGG,WHL,RAW,FRSH';143
'EGG,WHITE,RAW,FRESH';52
'EGG,YOLK,RAW,FRSH';322
'EGG,YOLK,RAW,FROZEN';303
'EGG,YOLK,RAW,FRZ,SUGARED';307
'EGG,WHL,CKD,FRIED';196
'EGG,WHL,CKD,HARD-BOILED';155
'EGG,WHOLE,COOKED,OMELET';154
'EGG,WHL,CKD,POACHED';143
'EGG,WHL,CKD,SCRMBLD';149
'EGG,WHOLE,DRIED';594
'EGG,WHL,DRIED,STABILIZED,GLUCOSE RED';615
'EGG,WHITE,DRIED,FLAKES,GLUCOSE RED';351
'EGG,WHITE,DRIED,PDR,GLUCOSE RED';376
'EGG,YOLK,DRIED';666
'EGG,DUCK,WHOLE,FRESH,RAW';185
'EGG,GOOSE,WHOLE,FRESH,RAW';185
'EGG,QUAIL,WHOLE,FRESH,RAW';158
'EGG,TURKEY,WHL,FRSH,RAW';171
'EGG SUBSTITUTE,POWDER';444
'BUTTER,WITHOUT SALT';717
'CHEESE,PARMESAN,SHREDDED';415
'MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)';34
'MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A';56
'MILK,CND,EVAP,W/ VIT A';134
'MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D';362
'MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D';358
'CHEESE,GOAT,HARD TYPE';452
'CHEESE,GOAT,SEMISOFT TYPE';364
'CHEESE,GOAT,SOFT TYPE';268
'EGG,YOLK,RAW,FRZ,SALTED';274
'CHEESE SUB,MOZZARELLA';248
'CHEESE FONDUE';229
'CHEESE SAU,PREP FROM RECIPE';197
'CHEESE,MEXICAN,QUESO ANEJO';373
'CHEESE,MEXICAN,QUESO ASADERO';356
'CHEESE,MEXICAN,QUESO CHIHUAHUA';374
'CHEESE,LOFAT,CHEDDAR OR COLBY';173
'CHEESE,LOW-SODIUM,CHEDDAR OR COLBY';398
'EGG,WHOLE,RAW,FROZEN';148
'EGG,WHITE,RAW,FROZEN';47
'EGG,WHITE,DRIED';382
'MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D';50
'MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D';42
'SOUR CREAM,REDUCED FAT';181
'SOUR CREAM,LIGHT';138
'SOUR CREAM,FAT FREE';74
'USDA COMMODITY,CHS,CHEDDAR,RED FAT';282
'YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR';43
'PARMESAN CHS TOPPING,FAT FREE';370
'CHEESE,CREAM,FAT FREE';105
'YOGURT,CHOC,NONFAT MILK';112
'KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU';276
'KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT';215
'KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT';148
'KRAFT VELVEETA PAST PROCESS CHS SPRD';303
'KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT';222
'KRAFT BREAKSTONE''S RED FAT SOUR CRM';152
'KRAFT BREAKSTONE''S FREE FAT FREE SOUR CRM';91
'KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT)';96
'KRAFT BREYERS LT N'' LVLY LOWFAT STR''BERY YOGURT (1% MILKFAT)';108
'KRAFT BREYERS SMOTH&CRMY LOWFAT STR''BERY YOGURT (1% MILKFAT)';102
'KRAFT BREYERS LT NONFAT STR''BERY YOGURT (W/ASPRT&FRUCT SW''T)';55
'CREAM,HALF & HALF,FAT FREE';59
'REDDI WIP FAT FREE WHIPPED TOPPING';149
'MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA';78
'YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER';105
'CHEESE,PARMESAN,DRY GRATED,RED FAT';265
'CREAM SUB,FLAV,LIQ';251
'CREAM SUB,FLAV,PDR';498
'CHEESE,PROVOLONE,RED FAT';274
'CHEESE,MEXICAN,BLEND,RED FAT';282
'EGG MIX,USDA CMDTY';555
'MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D';61
'MILK,DRY,WHL,WO/ ADDED VITAMIN D';496
'MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D';135
'CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D';240
'YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D';99
'YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D';102
'YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D';95
'YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D';105
'YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D';85
'YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D';43
'YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D';112
'PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR';411
'PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR';396
'DULCE DE LECHE';315
'EGG SUB,LIQ OR FRZ,FAT FREE';48
'CHEESE,DRY WHITE,QUESO SECO';325
'CHEESE,FRSH,QUESO FRESCO';299
'CHEESE,WHITE,QUESO BLANCO';310
'MILK,BTTRMLK,FLUID,WHL';62
'YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR';86
'YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR';104
'ICE CRM,SOFT SERVE,CHOC';222
'ICE CRM,BAR OR STK,CHOC COVERED';331
'ICE CRM SNDWCH';237
'ICE CRM COOKIE SNDWCH';240
'ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC';354
'ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA';186
'ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED';200
'FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC';129
'MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK';147
'NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ';88
'CHEESE,MEXICAN BLEND';358
'CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT';310
'CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D';371
'CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D';330
'EGG,WHL,RAW,FRZ,SALTED';138
'ALLSPICE,GROUND';263
'ANISE SEED';337
'SPICES,BASIL,DRIED';233
'SPICES,BAY LEAF';313
'CARAWAY SEED';333
'SPICES,CARDAMOM';311
'CELERY SEED';392
'CHERVIL,DRIED';237
'CHILI POWDER';282
'CINNAMON,GROUND';247
'CLOVES,GROUND';274
'CORIANDER LEAF,DRIED';279
'CORIANDER SEED';298
'CUMIN SEED';375
'CURRY POWDER';325
'DILL SEED';305
'DILL WEED,DRIED';253
'FENNEL SEED';345
'FENUGREEK SEED';323
'GARLIC POWDER';331
'GINGER,GROUND';335
'MACE,GROUND';475
'MARJORAM,DRIED';271
'SPICES,MUSTARD SD,GROUND';508
'NUTMEG,GROUND';525
'ONION POWDER';341
'SPICES,OREGANO,DRIED';265
'PAPRIKA';282
'PARSLEY,DRIED';292
'PEPPER,BLACK';251
'PEPPER,RED OR CAYENNE';318
'PEPPER,WHITE';296
'POPPY SEED';525
'POULTRY SEASONING';307
'PUMPKIN PIE SPICE';342
'ROSEMARY,DRIED';331
'SAFFRON';310
'SAGE,GROUND';315
'SAVORY,GROUND';272
'SPICES,TARRAGON,DRIED';295
'SPICES,THYME,DRIED';276
'TURMERIC,GROUND';354
'BASIL,FRESH';23
'DILL WEED,FRSH';43
'MUSTARD,PREPARED,YELLOW';67
'SALT,TABLE';0
'VINEGAR,CIDER';21
'THYME,FRSH';101
'VANILLA EXTRACT';288
